week_start,store_id,sku_id,on_hand_units,safety_stock,reorder_point
2024-01-01,S001,SKU0138,3,3,12
2024-01-01,S001,SKU0217,13,3,12
2024-01-01,S001,SKU0233,4,2,7
2024-01-01,S001,SKU0142,7,3,12
2024-01-01,S001,SKU0022,10,3,12
2024-01-01,S001,SKU0201,3,2,5
2024-01-01,S001,SKU0191,3,2,7
2024-01-01,S001,SKU0003,4,2,7
2024-01-01,S001,SKU0090,11,3,12
2024-01-01,S001,SKU0161,14,3,12
2024-01-01,S001,SKU0026,13,3,12
2024-01-01,S001,SKU0166,12,3,12
2024-01-01,S001,SKU0140,8,3,12
2024-01-01,S001,SKU0209,3,3,12
2024-01-01,S001,SKU0156,2,2,5
2024-01-01,S001,SKU0011,10,3,12
2024-01-01,S001,SKU0249,9,3,12
2024-01-01,S001,SKU0093,18,3,12
2024-01-01,S001,SKU0089,6,3,12
2024-01-01,S001,SKU0162,3,2,7
2024-01-01,S001,SKU0130,9,3,12
2024-01-01,S001,SKU0150,12,3,12
2024-01-01,S001,SKU0056,8,2,5
2024-01-01,S001,SKU0054,5,2,5
2024-01-01,S001,SKU0053,7,2,5
2024-01-01,S001,SKU0139,5,2,5
2024-01-01,S001,SKU0194,6,2,7
2024-01-01,S001,SKU0087,3,2,5
2024-01-01,S001,SKU0058,11,3,12
2024-01-01,S001,SKU0124,19,3,12
2024-01-01,S002,SKU0134,14,5,19
2024-01-01,S002,SKU0175,18,5,19
2024-01-01,S002,SKU0157,24,5,19
2024-01-01,S002,SKU0167,14,3,10
2024-01-01,S002,SKU0250,10,5,19
2024-01-01,S002,SKU0249,18,5,19
2024-01-01,S002,SKU0125,4,5,19
2024-01-01,S002,SKU0164,18,5,19
2024-01-01,S002,SKU0178,18,3,10
2024-01-01,S002,SKU0190,8,5,19
2024-01-01,S002,SKU0093,23,5,19
2024-01-01,S002,SKU0212,37,5,19
2024-01-01,S002,SKU0030,6,2,6
2024-01-01,S002,SKU0135,6,5,19
2024-01-01,S002,SKU0016,17,5,19
2024-01-01,S002,SKU0217,26,5,19
2024-01-01,S002,SKU0184,10,5,19
2024-01-01,S002,SKU0059,7,5,19
2024-01-01,S002,SKU0017,27,5,19
2024-01-01,S002,SKU0129,16,5,19
2024-01-01,S002,SKU0111,11,5,19
2024-01-01,S002,SKU0170,9,3,10
2024-01-01,S002,SKU0234,19,5,19
2024-01-01,S002,SKU0209,15,5,19
2024-01-01,S002,SKU0171,23,5,19
2024-01-01,S002,SKU0058,14,5,19
2024-01-01,S002,SKU0153,19,5,19
2024-01-01,S002,SKU0104,5,3,10
2024-01-01,S002,SKU0022,17,5,19
2024-01-01,S002,SKU0126,20,5,19
2024-01-01,S003,SKU0047,12,3,12
2024-01-01,S003,SKU0089,16,3,12
2024-01-01,S003,SKU0124,14,3,12
2024-01-01,S003,SKU0140,12,3,12
2024-01-01,S003,SKU0044,10,3,12
2024-01-01,S003,SKU0159,2,2,5
2024-01-01,S003,SKU0137,5,2,7
2024-01-01,S003,SKU0110,7,2,7
2024-01-01,S003,SKU0250,10,3,12
2024-01-01,S003,SKU0151,9,2,7
2024-01-01,S003,SKU0201,2,2,5
2024-01-01,S003,SKU0103,13,3,12
2024-01-01,S003,SKU0007,7,2,5
2024-01-01,S003,SKU0172,5,3,12
2024-01-01,S003,SKU0157,19,3,12
2024-01-01,S003,SKU0045,5,2,7
2024-01-01,S003,SKU0234,18,3,12
