week_start,store_id,sku_id,category,units_sold,unit_price,promo_flag
2024-01-01,S001,SKU0138,GARMENT,2,36.59,False
2024-01-01,S001,SKU0217,GARMENT,3,26.82,False
2024-01-01,S001,SKU0233,ACCESSORY,2,19.21,False
2024-01-01,S001,SKU0142,GARMENT,2,35.18,False
2024-01-01,S001,SKU0022,GARMENT,7,25.92,False
2024-01-01,S001,SKU0201,BAG,0,52.39,False
2024-01-01,S001,SKU0191,ACCESSORY,3,21.26,False
2024-01-01,S001,SKU0003,ACCESSORY,2,17.58,False
2024-01-01,S001,SKU0090,GARMENT,2,34.8,False
2024-01-01,S001,SKU0161,GARMENT,5,28.7,False
2024-01-01,S001,SKU0026,GARMENT,4,25.18,False
2024-01-01,S001,SKU0166,GARMENT,7,37.88,False
2024-01-01,S001,SKU0140,GARMENT,5,27.29,False
2024-01-01,S001,SKU0209,GARMENT,5,31.65,False
2024-01-01,S001,SKU0156,BAG,2,52.68,False
2024-01-01,S001,SKU0011,GARMENT,0,27.77,False
2024-01-01,S001,SKU0249,GARMENT,2,30.25,False
2024-01-01,S001,SKU0093,GARMENT,2,31.25,False
2024-01-01,S001,SKU0089,GARMENT,3,28.77,False
2024-01-01,S001,SKU0162,ACCESSORY,2,18.88,False
2024-01-01,S001,SKU0130,GARMENT,3,33.55,False
2024-01-01,S001,SKU0150,GARMENT,8,36.22,False
2024-01-01,S001,SKU0056,BAG,2,55.08,False
2024-01-01,S001,SKU0054,BAG,2,42.5,False
2024-01-01,S001,SKU0053,BAG,2,68.14,False
2024-01-01,S001,SKU0139,BAG,2,48.37,False
2024-01-01,S001,SKU0194,ACCESSORY,2,17.95,False
2024-01-01,S001,SKU0087,BAG,1,47.19,False
2024-01-01,S001,SKU0058,GARMENT,5,27.14,False
2024-01-01,S001,SKU0124,GARMENT,9,27.88,False
2024-01-01,S002,SKU0134,GARMENT,6,26.88,False
2024-01-01,S002,SKU0175,GARMENT,7,31.28,False
2024-01-01,S002,SKU0157,GARMENT,1,31.28,False
2024-01-01,S002,SKU0167,ACCESSORY,2,19.37,False
2024-01-01,S002,SKU0250,GARMENT,6,27.14,False
2024-01-01,S002,SKU0249,GARMENT,5,19.72,False
2024-01-01,S002,SKU0125,GARMENT,5,28.01,False
2024-01-01,S002,SKU0164,GARMENT,6,31.55,False
2024-01-01,S002,SKU0178,ACCESSORY,3,16.91,False
2024-01-01,S002,SKU0190,GARMENT,6,37.76,False
2024-01-01,S002,SKU0093,GARMENT,5,27.51,False
2024-01-01,S002,SKU0212,GARMENT,3,30.09,False
2024-01-01,S002,SKU0030,BAG,0,51.87,False
2024-01-01,S002,SKU0135,GARMENT,5,28.82,False
2024-01-01,S002,SKU0016,GARMENT,3,34.09,False
2024-01-01,S002,SKU0217,GARMENT,7,22.27,False
2024-01-01,S002,SKU0184,GARMENT,0,28.02,False
2024-01-01,S002,SKU0059,GARMENT,5,31.34,False
2024-01-01,S002,SKU0017,GARMENT,6,34.47,False
2024-01-01,S002,SKU0129,GARMENT,6,28.06,False
2024-01-01,S002,SKU0111,GARMENT,2,31.83,False
2024-01-01,S002,SKU0170,ACCESSORY,3,16.09,False
2024-01-01,S002,SKU0234,GARMENT,8,31.14,False
2024-01-01,S002,SKU0209,GARMENT,6,33.91,False
2024-01-01,S002,SKU0171,GARMENT,5,29.87,False
2024-01-01,S002,SKU0058,GARMENT,4,36.06,False
2024-01-01,S002,SKU0153,GARMENT,0,26.53,False
2024-01-01,S002,SKU0104,ACCESSORY,0,20.04,False
2024-01-01,S002,SKU0022,GARMENT,7,38.27,False
2024-01-01,S002,SKU0126,GARMENT,4,25.24,False
2024-01-01,S003,SKU0047,GARMENT,5,31.39,False
2024-01-01,S003,SKU0089,GARMENT,1,22.33,False
2024-01-01,S003,SKU0124,GARMENT,6,28.92,False
2024-01-01,S003,SKU0140,GARMENT,3,33.35,False
2024-01-01,S003,SKU0044,GARMENT,5,27.43,False
2024-01-01,S003,SKU0159,BAG,1,48.68,False
2024-01-01,S003,SKU0137,ACCESSORY,3,20.17,False
2024-01-01,S003,SKU0110,ACCESSORY,3,18.82,False
2024-01-01,S003,SKU0250,GARMENT,5,30.88,False
2024-01-01,S003,SKU0151,ACCESSORY,3,18.77,False
2024-01-01,S003,SKU0201,BAG,2,56.47,False
2024-01-01,S003,SKU0103,GARMENT,3,35.23,False
2024-01-01,S003,SKU0007,BAG,2,53.8,False
2024-01-01,S003,SKU0172,GARMENT,1,26.13,False
2024-01-01,S003,SKU0157,GARMENT,3,28.67,False
2024-01-01,S003,SKU0045,ACCESSORY,1,14.4,False
2024-01-01,S003,SKU0234,GARMENT,2,25.55,False
2024-01-01,S003,SKU0013,BAG,2,46.94,False
2024-01-01,S003,SKU0233,ACCESSORY,1,14.91,False
2024-01-01,S003,SKU0114,GARMENT,5,25.94,False
2024-01-01,S003,SKU0145,GARMENT,5,17.85,False
2024-01-01,S003,SKU0192,GARMENT,2,29.48,False
2024-01-01,S003,SKU0032,ACCESSORY,2,16.39,False
2024-01-01,S003,SKU0005,GARMENT,4,26.77,False
2024-01-01,S003,SKU0016,GARMENT,2,33.93,False
2024-01-01,S003,SKU0229,BAG,1,54.83,False
2024-01-01,S003,SKU0197,GARMENT,5,33.64,False
2024-01-01,S003,SKU0186,BAG,0,47.27,False
2024-01-01,S003,SKU0084,GARMENT,4,28.29,False
2024-01-01,S003,SKU0162,ACCESSORY,4,17.84,False
2024-01-01,S004,SKU0079,GARMENT,2,30.7,False
2024-01-01,S004,SKU0057,GARMENT,6,37.28,False
2024-01-01,S004,SKU0210,GARMENT,2,26.29,False
2024-01-01,S004,SKU0051,GARMENT,6,23.44,False
2024-01-01,S004,SKU0050,GARMENT,3,31.29,False
2024-01-01,S004,SKU0116,ACCESSORY,3,19.84,False
2024-01-01,S004,SKU0013,BAG,2,58.21,False
2024-01-01,S004,SKU0239,GARMENT,3,26.69,False
2024-01-01,S004,SKU0053,BAG,3,49.15,False
2024-01-01,S004,SKU0008,BAG,2,52.38,False
2024-01-01,S004,SKU0207,GARMENT,4,31.41,False
2024-01-01,S004,SKU0196,GARMENT,4,26.44,False
2024-01-01,S004,SKU0167,ACCESSORY,2,16.95,False
2024-01-01,S004,SKU0073,ACCESSORY,3,19.25,False
2024-01-01,S004,SKU0047,GARMENT,1,34.82,False
2024-01-01,S004,SKU0018,GARMENT,5,28.55,False
2024-01-01,S004,SKU0200,GARMENT,7,32.92,False
2024-01-01,S004,SKU0123,GARMENT,1,28.58,False
2024-01-01,S004,SKU0230,GARMENT,4,27.19,False
2024-01-01,S004,SKU0001,BAG,3,68.61,False
2024-01-01,S004,SKU0064,BAG,2,49.89,False
2024-01-01,S004,SKU0211,BAG,1,56.43,False
2024-01-01,S004,SKU0109,GARMENT,1,31.05,False
2024-01-01,S004,SKU0165,GARMENT,3,27.18,False
2024-01-01,S004,SKU0015,GARMENT,1,22.37,False
2024-01-01,S004,SKU0004,BAG,1,55.27,False
2024-01-01,S004,SKU0100,ACCESSORY,3,22.64,False
2024-01-01,S004,SKU0101,ACCESSORY,2,16.14,False
2024-01-01,S004,SKU0158,BAG,2,58.11,False
2024-01-01,S004,SKU0160,BAG,2,48.22,False
2024-01-01,S005,SKU0153,GARMENT,8,22.35,False
2024-01-01,S005,SKU0005,GARMENT,1,30.65,False
2024-01-01,S005,SKU0162,ACCESSORY,6,22.33,False
2024-01-01,S005,SKU0245,GARMENT,4,27.15,False
2024-01-01,S005,SKU0131,GARMENT,3,26.36,False
2024-01-01,S005,SKU0224,ACCESSORY,3,14.49,False
2024-01-01,S005,SKU0186,BAG,1,54.2,False
2024-01-01,S005,SKU0147,GARMENT,7,29.94,False
2024-01-01,S005,SKU0182,ACCESSORY,2,16.22,False
2024-01-01,S005,SKU0230,GARMENT,2,29.65,False
2024-01-01,S005,SKU0217,GARMENT,3,34.01,False
2024-01-01,S005,SKU0119,GARMENT,2,32.45,False
2024-01-01,S005,SKU0164,GARMENT,6,32.33,False
2024-01-01,S005,SKU0231,GARMENT,4,26.41,False
2024-01-01,S005,SKU0175,GARMENT,5,29.36,False
2024-01-01,S005,SKU0250,GARMENT,7,33.89,False
2024-01-01,S005,SKU0214,ACCESSORY,4,19.24,False
2024-01-01,S005,SKU0136,GARMENT,5,31.89,False
2024-01-01,S005,SKU0248,GARMENT,3,38.21,False
2024-01-01,S005,SKU0069,GARMENT,7,25.37,False
2024-01-01,S005,SKU0139,BAG,3,50.35,False
2024-01-01,S005,SKU0060,GARMENT,5,24.87,False
2024-01-01,S005,SKU0052,GARMENT,4,25.81,False
2024-01-01,S005,SKU0173,GARMENT,5,25.14,False
2024-01-01,S005,SKU0029,GARMENT,5,32.96,False
2024-01-01,S005,SKU0157,GARMENT,6,32.23,False
2024-01-01,S005,SKU0225,GARMENT,8,37.07,False
2024-01-01,S005,SKU0036,GARMENT,6,28.78,False
2024-01-01,S005,SKU0125,GARMENT,5,28.76,False
2024-01-01,S005,SKU0063,GARMENT,6,35.94,False
2024-01-01,S006,SKU0128,GARMENT,3,28.33,False
2024-01-01,S006,SKU0168,ACCESSORY,4,15.93,False
2024-01-01,S006,SKU0217,GARMENT,7,29.89,False
2024-01-01,S006,SKU0068,GARMENT,7,32.58,False
2024-01-01,S006,SKU0199,GARMENT,0,30.65,False
2024-01-01,S006,SKU0243,GARMENT,9,31.2,False
2024-01-01,S006,SKU0070,GARMENT,2,27.09,False
2024-01-01,S006,SKU0209,GARMENT,5,30.33,False
2024-01-01,S006,SKU0059,GARMENT,5,38.45,False
2024-01-01,S006,SKU0098,GARMENT,1,33.66,False
2024-01-01,S006,SKU0213,GARMENT,2,35.43,False
